Gene,RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA tissue cell type enrichment
EFR3A,Tissue enhanced,Detected in all,,retina: 117.9,"Testis - Spermatocytes, Thyroid - Thyroid glandular cells"
EFR3B,Tissue enhanced,Detected in many,,brain: 34.0;skeletal muscle: 19.1,"Adipose visceral - Endothelial cells, Colon - Enteric glia cells, Lung - Alveolar cells type 1"
EGF,Group enriched,Detected in many,4,kidney: 106.4;pancreas: 86.7;skeletal muscle: 28.6,"Lung - Alveolar cells type 2, Pancreas - Exocrine glandular cells, Prostate - Prostate glandular cells, Skin - Eccrine sweat gland cells, Testis - Early spermatids, Thyroid - Thyroid glandular cells"
EGFL6,Tissue enriched,Detected in many,25,placenta: 623.7,Testis - Spermatogonia
EGFLAM,Tissue enhanced,Detected in many,,tongue: 116.6,"Prostate - Fibroblasts, Thyroid - Fibroblasts"
EGFR,Tissue enhanced,Detected in many,,placenta: 63.5,"Heart muscle - Fibroblasts, Prostate - Prostate basal glandular cells"
EGLN1,Tissue enhanced,Detected in all,,skeletal muscle: 183.9,
EGLN2,Tissue enhanced,Detected in all,,testis: 225.6,"Skin - Endothelial cells, Testis - Early spermatids, Testis - Late spermatids"
EGLN3,Tissue enhanced,Detected in many,,heart muscle: 106.7;skin 1: 114.4,"Liver - Vascular Endothelial cells, Skin - Keratinocyte (other)"
EGR2,Tissue enhanced,Detected in many,,epididymis: 58.2;thyroid gland: 118.4,"Heart muscle - Fibroblasts, Skeletal muscle - Fibroblasts"
EGR3,Tissue enhanced,Detected in many,,skin 1: 44.2,"Skeletal muscle - Fibroblasts, Testis - Late spermatids"
EGR4,Tissue enriched,Detected in some,5,brain: 18.6,Testis - Spermatogonia
EHBP1L1,Tissue enhanced,Detected in many,,skeletal muscle: 246.6,"Breast - Smooth muscle cells, Prostate - Smooth muscle cells"
EHD1,Tissue enhanced,Detected in all,,bone marrow: 149.7;testis: 155.5,Testis - Late spermatids
EHD3,Tissue enhanced,Detected in all,,brain: 43.9;esophagus: 42.7,"Kidney - Podocytes, Liver - Sinusoid Endothelial cells"
EHF,Tissue enhanced,Detected in many,,salivary gland: 279.5,"Colon - Colon enterocytes, Liver - Cholangiocyte, Lung - Alveolar cells type 2, Prostate - Prostate basal glandular cells, Testis - Early spermatids"
EHHADH,Group enriched,Detected in all,11,kidney: 139.2;liver: 334.1,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Thyroid - Thyroid glandular cells"
EI24,Tissue enhanced,Detected in all,,parathyroid gland: 447.2,"Liver - Hepatocytes, Testis - Spermatocytes"
EID2B,Tissue enhanced,Detected in many,,brain: 15.9,Breast - Fibroblasts
EID3,Tissue enriched,Detected in many,9,testis: 59.4,Testis - Early spermatids
EIF1AY,Tissue enhanced,Detected in many,,heart muscle: 117.4;tongue: 126.4,
EIF1B,Tissue enhanced,Detected in all,,heart muscle: 349.9,"Heart muscle - Cardiomyocytes, Testis - Spermatocytes"
EIF2AK3,Tissue enhanced,Detected in many,,pancreas: 32.3,Testis - Leydig cells
EIF3J,Tissue enhanced,Detected in all,,skeletal muscle: 202.2,
EIF4E1B,Group enriched,Detected in some,6,brain: 4.4;epididymis: 1.1;retina: 2.7,"Pancreas - Beta cells, Testis - Sertoli cells"
EIF4EBP1,Tissue enhanced,Detected in all,,pancreas: 183.4;salivary gland: 159.4,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast)"
EIF4G1,Tissue enhanced,Detected in all,,skeletal muscle: 335.9,Skin - Keratinocyte (other)
EIF5A2,Tissue enhanced,Detected in all,,testis: 27.5,"Breast - Endothelial cells, Testis - Early spermatids, Testis - Late spermatids"
EIF5AL1,Tissue enriched,Detected in some,7,testis: 10.2,Testis - Early spermatids
ELANE,Tissue enriched,Detected in many,92,bone marrow: 3840.6,"Lung - Neutrophil_1, Skin - Fibroblast_2"
ELAPOR1,Tissue enhanced,Detected in many,,pancreas: 151.7;salivary gland: 161.2;stomach 1: 85.8,"Colon - Colon enterocytes, Lung - Respiratory ciliated cells, Prostate - Prostate glandular cells, Skin - Eccrine sweat gland cells, Stomach - Chief cells, Testis - Early spermatids"
ELAPOR2,Tissue enhanced,Detected in many,,lung: 21.1,"Lung - Alveolar cells type 2, Testis - Early spermatids, Testis - Late spermatids"
ELAVL2,Group enriched,Detected in some,7,brain: 24.2;testis: 41.8,"Colon - Colon enteroendocrine cells, Skin - Outer root sheath cells, Testis - Spermatogonia"
ELAVL3,Tissue enriched,Detected in some,26,brain: 150.8,Colon - Colon enteroendocrine cells
ELAVL4,Tissue enhanced,Detected in some,,adrenal gland: 10.8;brain: 38.3,"Colon - Colon enteroendocrine cells, Pancreas - Alpha cells, Pancreas - Beta cells, Testis - Early spermatids, Testis - Late spermatids"
ELF1,Tissue enhanced,Detected in all,,bone marrow: 198.7,
ELF3,Tissue enhanced,Detected in many,,esophagus: 230.3,"Colon - Colon enterocytes, Prostate - Urothelial cells"
ELF4,Tissue enhanced,Detected in many,,bone marrow: 52.5,"Breast - Endothelial cells, Heart muscle - Endothelial cells, Skeletal muscle - Endothelial cells, Stomach - Gastric mucous cells, Testis - Spermatogonia"
ELF5,Group enriched,Detected in many,5,breast: 146.0;salivary gland: 143.2,"Kidney - Ascending Loop of Henle cells, Skin - Eccrine sweat gland cells"
ELFN1,Tissue enhanced,Detected in many,,liver: 14.2,"Colon - Endothelial cells, Liver - Hepatocytes, Testis - Spermatogonia"
ELFN2,Group enriched,Detected in some,5,brain: 13.8;retina: 5.9,"Colon - Colon enteroendocrine cells, Lung - Alveolar cells type 2, Prostate - Prostate glandular cells, Testis - Early spermatids"
ELL3,Group enriched,Detected in many,5,choroid plexus: 15.3;intestine: 16.7;lymphoid tissue: 56.1;skin 1: 25.8;testis: 16.5,"Lung - Respiratory ciliated cells, Skin - Keratinocyte (other), Testis - Early spermatids"
ELMO1,Tissue enhanced,Detected in all,,brain: 113.6,"Adipose visceral - Endothelial cells, Breast - Endothelial cells, Colon - Endothelial cells, Liver - Hepatocytes, Lung - Fibroblast_1"
ELMOD1,Group enriched,Detected in many,7,brain: 53.2;pituitary gland: 21.1;retina: 31.6;skin 1: 28.1,"Kidney - Proximal tubular cells, Skin - Keratinocyte (granular)"
ELOA2,Tissue enriched,Detected in single,39,testis: 3.9,"Testis - Early spermatids, Testis - Late spermatids"
ELOVL1,Tissue enhanced,Detected in all,,brain: 344.9,"Adipose subcutaneous - Adipocytes (Subcutaneous), Breast - Adipocytes (Breast), Skin - Keratinocyte (granular)"
ELOVL2,Tissue enhanced,Detected in many,,liver: 50.9;placenta: 34.1;retina: 27.0,"Liver - Hepatocytes, Lung - Fibroblast_2, Prostate - Prostate glandular cells, Testis - Spermatocytes"
ELOVL3,Tissue enriched,Detected in some,9,skin 1: 29.6,"Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Skin - Sebaceous gland cells"
ELOVL4,Tissue enhanced,Detected in many,,lymphoid tissue: 102.8;retina: 171.3,"Heart muscle - Fibroblasts, Kidney - Podocytes, Testis - Spermatocytes, Testis - Spermatogonia"
ELOVL6,Tissue enhanced,Detected in many,,liver: 35.4,"Skeletal muscle - Endothelial cells, Stomach - Gastric mucous cells"
ELP5,Tissue enhanced,Detected in all,,testis: 165.0,"Testis - Early spermatids, Testis - Late spermatids"
ELSPBP1,Tissue enriched,Detected in some,38,epididymis: 2760.0,
EMB,Tissue enhanced,Detected in all,,bone marrow: 168.7,"Adipose subcutaneous - Macrophages, Adipose visceral - Mesothelial cells, Heart muscle - Macrophages, Skeletal muscle - Macrophages, Stomach - Macrophages"
EMC10,Tissue enhanced,Detected in all,,skeletal muscle: 178.8,Adipose visceral - Adipose progenitor cells
EMC6,Tissue enhanced,Detected in all,,skeletal muscle: 178.5,
EME1,Tissue enhanced,Detected in some,,bone marrow: 4.3;epididymis: 6.2;testis: 5.6,"Lung - Mitotic cells (Lung), Skin - Mitotic cells (Skin), Stomach - Mitotic cells (Stomach)"
EMID1,Tissue enhanced,Detected in many,,brain: 35.7;lymphoid tissue: 53.4,"Skeletal muscle - Fibroblasts, Skin - Fibroblast_1"
EMILIN2,Tissue enhanced,Detected in many,,parathyroid gland: 73.7,"Adipose subcutaneous - Macrophages, Colon - Macrophages, Lung - Macrophages, Skeletal muscle - Macrophages, Skin - Fibroblast_2"
EMILIN3,Tissue enriched,Detected in many,5,epididymis: 52.3,"Skin - Sebaceous gland cells, Stomach - Fibroblasts"
EML5,Tissue enhanced,Detected in many,,brain: 6.8;ovary: 10.8;retina: 8.8,"Lung - Alveolar cells type 2, Prostate - Prostate glandular cells, Testis - Spermatocytes"
EML6,Tissue enhanced,Detected in many,,lymphoid tissue: 9.2;retina: 11.8,"Lung - Respiratory ciliated cells, Testis - Early spermatids"
EMP1,Tissue enhanced,Detected in all,,esophagus: 2191.8;vagina: 794.5,"Breast - Endothelial cells, Kidney - Endothelial cells"
EMP2,Tissue enhanced,Detected in many,,lung: 223.6,"Adipose visceral - Endothelial cells, Liver - Hepatocytes, Lung - Alveolar cells type 1, Skeletal muscle - Endothelial cells, Skin - Keratinocyte (other), Thyroid - Endothelial cells"
EMX1,Group enriched,Detected in some,5,brain: 16.8;kidney: 35.4,"Adipose visceral - Mesothelial cells, Kidney - Intercalated cells"
EMX2,Tissue enhanced,Detected in many,,endometrium 1: 76.3;epididymis: 101.8,Thyroid - Smooth muscle cells
EN1,Group enriched,Detected in some,5,adipose tissue: 3.4;brain: 9.0;skeletal muscle: 13.4;skin 1: 10.0,Skin - Eccrine sweat gland cells
EN2,Tissue enriched,Detected in single,41,brain: 35.3,Testis - Spermatocytes
ENAM,Tissue enhanced,Detected in some,,epididymis: 7.3;heart muscle: 6.3;kidney: 8.6;skeletal muscle: 4.7,Testis - Late spermatids
ENC1,Tissue enriched,Detected in all,7,brain: 288.4,Pancreas - Ductal cells
ENDOG,Tissue enhanced,Detected in all,,skeletal muscle: 130.5,Heart muscle - Cardiomyocytes
ENDOU,Tissue enhanced,Detected in many,,esophagus: 80.5;vagina: 30.0,
ENG,Tissue enhanced,Detected in all,,heart muscle: 511.3,"Adipose visceral - Endothelial cells, Colon - Endothelial cells, Heart muscle - Endothelial cells, Prostate - Endothelial cells"
ENHO,Tissue enriched,Detected in many,24,brain: 542.2,Testis - Sertoli cells
ENKUR,Tissue enhanced,Detected in some,,brain: 12.3;choroid plexus: 16.2;fallopian tube: 42.2,"Lung - Respiratory ciliated cells, Testis - Early spermatids"
ENO2,Group enriched,Detected in all,7,brain: 844.5;retina: 1644.2,Adipose visceral - Adipose progenitor cells
ENO3,Group enriched,Detected in all,25,skeletal muscle: 14241.5;tongue: 10348.2,"Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes"
ENO4,Tissue enhanced,Detected in some,,choroid plexus: 5.3;fallopian tube: 4.9,"Lung - Respiratory ciliated cells, Testis - Early spermatids"
ENOPH1,Tissue enhanced,Detected in all,,brain: 122.4,Thyroid - Thyroid glandular cells
ENPEP,Tissue enhanced,Detected in many,,intestine: 159.0;kidney: 86.9,"Adipose subcutaneous - Endothelial cells, Breast - Endothelial cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Prostate - Fibroblasts"
ENPP1,Tissue enhanced,Detected in many,,placenta: 42.0,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Liver - Hepatocytes"
ENPP2,Tissue enriched,Detected in all,4,choroid plexus: 1296.7,"Breast - Endothelial cells, Skeletal muscle - Endothelial cells"
ENPP3,Tissue enhanced,Detected in many,,cervix: 31.0;intestine: 43.2,"Kidney - Proximal tubular cells, Liver - Hepatocytes, Lung - Mast cells, Skeletal muscle - Fibroblasts, Thyroid - Fibroblasts"
ENPP5,Tissue enriched,Detected in many,5,epididymis: 237.9,"Skin - Eccrine sweat gland cells, Stomach - Parietal cells, Testis - Sertoli cells, Thyroid - Thyroid glandular cells"
ENPP6,Group enriched,Detected in many,4,brain: 27.8;kidney: 29.5;ovary: 15.6,"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Skeletal muscle - Fibroblasts, Testis - Peritubular cells"
ENPP7,Tissue enriched,Detected in some,9,intestine: 101.7,"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells"
ENSG00000131152,Tissue enhanced,Detected in some,,skeletal muscle: 3.7,
ENSG00000142539,Tissue enhanced,Detected in single,,lymphoid tissue: 1.7,
ENSG00000144785,Tissue enhanced,Detected in many,,pancreas: 18.2;salivary gland: 18.7,
ENSG00000173366,Tissue enhanced,Detected in some,,intestine: 1.8;lymphoid tissue: 2.6,
ENSG00000187186,Tissue enhanced,Detected in all,,brain: 95.6;testis: 284.3,Testis - Late spermatids
ENSG00000188897,Tissue enhanced,Detected in many,,lymphoid tissue: 18.1,"Adipose visceral - Neutrophils, Skin - Keratinocyte (granular)"
ENSG00000198211,Tissue enriched,Detected in single,11,testis: 6.4,
ENSG00000203546,Tissue enhanced,Detected in some,,adipose tissue: 1.1;skeletal muscle: 1.1,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral)"
ENSG00000206549,Tissue enhanced,Detected in many,,pituitary gland: 4.5;skeletal muscle: 4.7;thyroid gland: 5.8,
ENSG00000225528,Tissue enhanced,Detected in some,,bone marrow: 1.2;lymphoid tissue: 3.9,"Adipose visceral - T-cells, Thyroid - T-cells"
ENSG00000226690,Tissue enriched,Detected in single,6,fallopian tube: 4.2,"Lung - Respiratory ciliated cells, Testis - Early spermatids"
ENSG00000230707,Tissue enhanced,Detected in some,,adrenal gland: 7.6;brain: 2.3,
ENSG00000236543,Tissue enriched,Detected in single,31,skin 1: 8.4,Skin - Keratinocyte (granular)
ENSG00000237378,Tissue enhanced,Detected in single,,breast: 2.0,
ENSG00000241690,Tissue enriched,Detected in single,35,testis: 13.5,
ENSG00000244255,Tissue enhanced,Detected in single,,liver: 1.8,
ENSG00000248235,Tissue enhanced,Detected in some,,lymphoid tissue: 2.6,
ENSG00000249141,Tissue enhanced,Detected in some,,pancreas: 3.4,
ENSG00000249240,Tissue enhanced,Detected in some,,lymphoid tissue: 5.6,
ENSG00000249590,Tissue enhanced,Detected in some,,retina: 6.6,
ENSG00000249773,Tissue enhanced,Detected in some,,testis: 2.7,
ENSG00000249967,Tissue enhanced,Detected in single,,tongue: 1.6,
ENSG00000250264,Tissue enhanced,Detected in many,,lymphoid tissue: 6.3,
ENSG00000250349,Tissue enriched,Detected in single,6,skeletal muscle: 4.5,
ENSG00000250644,Tissue enhanced,Detected in many,,adrenal gland: 196.6,
ENSG00000250803,Tissue enriched,Detected in some,48,testis: 98.3,"Lung - Respiratory ciliated cells, Testis - Late spermatids"
ENSG00000251184,Group enriched,Detected in some,5,retina: 2.4;skeletal muscle: 1.4,
ENSG00000251569,Group enriched,Detected in many,5,retina: 17.4;testis: 8.3,
ENSG00000254706,Tissue enhanced,Detected in many,,salivary gland: 4.9,
ENSG00000254979,Tissue enhanced,Detected in many,,bone marrow: 13.1;liver: 7.0;placenta: 6.8,
ENSG00000255432,Tissue enhanced,Detected in single,,skeletal muscle: 1.0,
ENSG00000255439,Tissue enhanced,Detected in single,,skin 1: 1.1,
ENSG00000255639,Tissue enhanced,Detected in many,,intestine: 22.4;tongue: 17.8,
ENSG00000255641,Group enriched,Detected in some,4,bone marrow: 1.6;brain: 6.5;lymphoid tissue: 4.5,
ENSG00000256349,Tissue enhanced,Detected in single,,retina: 2.2,
ENSG00000256500,Tissue enhanced,Detected in many,,brain: 17.4;skeletal muscle: 30.6,
ENSG00000257390,Tissue enriched,Detected in single,9,testis: 8.7,
ENSG00000257767,Tissue enhanced,Detected in many,,adipose tissue: 61.7;skeletal muscle: 36.6,
ENSG00000258529,Tissue enhanced,Detected in single,,testis: 1.1,
ENSG00000258674,Tissue enhanced,Detected in many,,brain: 12.3,
ENSG00000258691,Tissue enhanced,Detected in some,,esophagus: 2.4;kidney: 2.0,
ENSG00000258881,Tissue enhanced,Detected in single,,retina: 1.2,
ENSG00000258989,Tissue enhanced,Detected in many,,retina: 8.6,
ENSG00000259060,Tissue enriched,Detected in single,6,epididymis: 3.7,
ENSG00000259171,Tissue enhanced,Detected in many,,liver: 111.6,
ENSG00000259784,Tissue enhanced,Detected in some,,bone marrow: 1.8;intestine: 1.1,
ENSG00000260272,Tissue enhanced,Detected in some,,brain: 4.0;kidney: 3.0,
ENSG00000260342,Tissue enhanced,Detected in many,,testis: 14.4,
ENSG00000260643,Tissue enhanced,Detected in many,,brain: 20.1,
ENSG00000260861,Tissue enhanced,Detected in some,,bone marrow: 2.7;brain: 2.8;lymphoid tissue: 2.5;testis: 3.2,
ENSG00000260914,Tissue enhanced,Detected in all,,skeletal muscle: 151.0,
ENSG00000261341,Tissue enriched,Detected in some,24,testis: 210.2,Testis - Late spermatids
ENSG00000261717,Tissue enhanced,Detected in single,,skeletal muscle: 2.1,
ENSG00000261793,Tissue enriched,Detected in some,4,salivary gland: 44.8,
ENSG00000262660,Tissue enhanced,Detected in some,,intestine: 2.3;skeletal muscle: 1.0,
ENSG00000263620,Tissue enhanced,Detected in many,,brain: 27.7;skeletal muscle: 31.0,
ENSG00000264668,Tissue enhanced,Detected in single,,brain: 1.3,
ENSG00000265118,Tissue enriched,Detected in some,4,lymphoid tissue: 8.2,
ENSG00000266202,Tissue enhanced,Detected in single,,pancreas: 1.7,
ENSG00000266953,Group enriched,Detected in some,5,bone marrow: 1.0;retina: 2.5;skeletal muscle: 2.5,
ENSG00000267001,Tissue enhanced,Detected in many,,skeletal muscle: 6.3,
ENSG00000267140,Tissue enhanced,Detected in many,,lymphoid tissue: 4.7,
ENSG00000267318,Tissue enhanced,Detected in many,,skeletal muscle: 24.2;tongue: 22.1,
ENSG00000267335,Tissue enriched,Detected in some,6,pituitary gland: 16.5,
ENSG00000267561,Tissue enhanced,Detected in many,,adipose tissue: 18.6,
ENSG00000267618,Tissue enhanced,Detected in some,,testis: 4.2,
ENSG00000267748,Tissue enhanced,Detected in many,,salivary gland: 11.2,
ENSG00000267881,Tissue enriched,Detected in single,4,intestine: 3.2,
ENSG00000267952,Tissue enhanced,Detected in some,,retina: 4.9;skeletal muscle: 11.9,
ENSG00000268083,Tissue enhanced,Detected in some,,skeletal muscle: 1.4,
ENSG00000268163,Tissue enhanced,Detected in some,,retina: 1.1;skeletal muscle: 1.0,
ENSG00000268361,Tissue enriched,Detected in single,4,brain: 1.0,
ENSG00000268434,Tissue enhanced,Detected in single,,skeletal muscle: 1.0,
ENSG00000268465,Tissue enhanced,Detected in some,,intestine: 1.2;retina: 4.8;testis: 1.6,
ENSG00000268533,Tissue enhanced,Detected in many,,retina: 8.1;skin 1: 6.4,
ENSG00000268643,Tissue enhanced,Detected in many,,retina: 10.5,
ENSG00000268655,Group enriched,Detected in some,5,pancreas: 8.7;testis: 2.6,"Pancreas - Exocrine glandular cells, Testis - Early spermatids, Testis - Late spermatids"
ENSG00000268790,Tissue enhanced,Detected in single,,skeletal muscle: 1.8,
ENSG00000269590,Tissue enhanced,Detected in some,,intestine: 1.2;lymphoid tissue: 1.4;skeletal muscle: 1.3,
